# radial position[m]	 axial position[m]	 current[A]
0.297	-0.408	-21.4777
0.298	0.408	-20.9167
0.298	-0.408	-20.9167
0.299	0.408	-20.3619
0.299	-0.408	-20.3619
0.3	0.408	-19.8141
0.3	-0.408	-19.8141
0.3	0.407	-20.0719
0.3	-0.407	-20.0719
0.3	0.406	-20.3189
0.3	-0.406	-20.3189
0.3	0.405	-20.5536
0.3	-0.405	-20.5536
0.3	0.404	-20.7745
0.3	-0.404	-20.7745
0.3	0.403	-20.9799
0.3	-0.403	-20.9799
0.3	0.402	-21.1681
0.3	-0.402	-21.1681
0.3	0.401	-21.3373
0.3	-0.401	-21.3373
0.3	0.4	-21.4855
0.3	-0.4	-21.4855
0.3	0.399	-21.6108
0.3	-0.399	-21.6108
0.3	0.398	-21.7109
0.3	-0.398	-21.7109
0.3	0.397	-21.7838
0.3	-0.397	-21.7838
0.3	0.396	-21.827
0.3	-0.396	-21.827
0.3	0.395	-21.8382
0.3	-0.395	-21.8382
0.3	0.394	-21.8148
0.3	-0.394	-21.8148
0.3	0.393	-21.7542
0.3	-0.393	-21.7542
0.3	0.392	-21.6538
0.3	-0.392	-21.6538
0.3	0.391	-21.5109
0.3	-0.391	-21.5109
0.3	0.39	-21.3224
0.3	-0.39	-21.3224
0.3	0.389	-21.0857
0.3	-0.389	-21.0857
0.3	0.388	-20.7976
0.3	-0.388	-20.7976
0.3	0.387	-20.4552
0.3	-0.387	-20.4552
0.3	0.386	-20.0555
0.3	-0.386	-20.0555
0.3	0.385	-19.5953
0.3	-0.385	-19.5953
0.3	0.384	-19.0716
0.3	-0.384	-19.0716
0.3	0.383	-18.4813
0.3	-0.383	-18.4813
0.3	0.382	-17.8213
0.3	-0.382	-17.8213
0.3	0.381	-17.0887
0.3	-0.381	-17.0887
0.3	0.38	-16.2805
0.3	-0.38	-16.2805
0.3	0.379	-15.3938
0.3	-0.379	-15.3938
0.3	0.378	-14.4258
0.3	-0.378	-14.4258
0.3	0.377	-13.374
0.3	-0.377	-13.374
0.3	0.376	-12.2359
0.3	-0.376	-12.2359
0.3	0.375	-11.0093
0.3	-0.375	-11.0093
0.3	0.374	-9.69202
0.3	-0.374	-9.69202
0.3	0.373	-8.2824
0.3	-0.373	-8.2824
0.3	0.372	-6.77892
0.3	-0.372	-6.77892
0.3	0.371	-5.18044
0.3	-0.371	-5.18044
0.3	0.37	-3.48615
0.3	-0.37	-3.48615
0.3	0.369	-1.69568
0.3	-0.369	-1.69568
0.3	0.368	0.190935
0.3	-0.368	0.190935
0.3	0.367	2.17315
0.3	-0.367	2.17315
0.3	0.366	4.2499
0.3	-0.366	4.2499
0.3	0.365	6.41958
0.3	-0.365	6.41958
0.3	0.364	8.67996
0.3	-0.364	8.67996
0.3	0.363	11.0282
0.3	-0.363	11.0282
0.3	0.362	13.4607
0.3	-0.362	13.4607
0.3	0.361	15.9734
0.3	-0.361	15.9734
0.3	0.36	18.561
0.3	-0.36	18.561
0.3	0.359	21.218
0.3	-0.359	21.218
0.3	0.358	23.9376
0.3	-0.358	23.9376
0.3	0.357	26.7125
0.3	-0.357	26.7125
0.3	0.356	29.5344
0.3	-0.356	29.5344
0.3	0.355	32.3941
0.3	-0.355	32.3941
0.3	0.354	35.2816
0.3	-0.354	35.2816
0.3	0.353	38.186
0.3	-0.353	38.186
0.3	0.352	41.0953
0.3	-0.352	41.0953
0.3	0.351	43.9968
0.3	-0.351	43.9968
0.3	0.35	46.8771
0.3	-0.35	46.8771
0.3	0.349	49.7216
0.3	-0.349	49.7216
0.3	0.348	52.515
0.3	-0.348	52.515
