# radial position[m]	 axial position[m]	 current[A]
0.271	0.408	-3.26068
0.271	-0.408	-3.26068
0.272	0.408	-3.21177
0.272	-0.408	-3.21177
0.273	0.408	-3.15858
0.273	-0.408	-3.15858
0.274	0.408	-3.10162
0.274	-0.408	-3.10162
0.275	0.408	-3.04134
0.275	-0.408	-3.04134
0.276	0.408	-2.97819
0.276	-0.408	-2.97819
0.277	0.408	-2.91257
0.277	-0.408	-2.91257
0.278	0.408	-2.84487
0.278	-0.408	-2.84487
0.279	0.408	-2.77545
0.279	-0.408	-2.77545
0.28	0.408	-2.70464
0.28	-0.408	-2.70464
0.281	0.408	-2.63276
0.281	-0.408	-2.63276
0.282	0.408	-2.56008
0.282	-0.408	-2.56008
0.283	0.408	-2.48689
0.283	-0.408	-2.48689
0.284	0.408	-2.41341
0.284	-0.408	-2.41341
0.285	0.408	-2.33988
0.285	-0.408	-2.33988
0.286	0.408	-2.2665
0.286	-0.408	-2.2665
0.287	0.408	-2.19345
0.287	-0.408	-2.19345
0.288	0.408	-2.12091
0.288	-0.408	-2.12091
0.289	0.408	-2.04901
0.289	-0.408	-2.04901
0.29	0.408	-1.97791
0.29	-0.408	-1.97791
0.291	0.408	-1.90773
0.291	-0.408	-1.90773
0.292	0.408	-1.83856
0.292	-0.408	-1.83856
0.293	0.408	-1.7705
0.293	-0.408	-1.7705
0.294	0.408	-1.70364
0.294	-0.408	-1.70364
0.295	0.408	-1.63805
0.295	-0.408	-1.63805
0.296	0.408	-1.57379
0.296	-0.408	-1.57379
0.297	0.408	-1.51091
0.297	-0.408	-1.51091
0.298	0.408	-1.44945
0.298	-0.408	-1.44945
0.299	0.408	-1.38945
0.299	-0.408	-1.38945
0.3	0.408	-1.33093
0.3	-0.408	-1.33093
0.3	0.407	-1.34888
0.3	-0.407	-1.34888
0.3	0.406	-1.36497
0.3	-0.406	-1.36497
0.3	0.405	-1.37906
0.3	-0.405	-1.37906
0.3	0.404	-1.39097
0.3	-0.404	-1.39097
0.3	0.403	-1.40052
0.3	-0.403	-1.40052
0.3	0.402	-1.40755
0.3	-0.402	-1.40755
0.3	0.401	-1.41186
0.3	-0.401	-1.41186
0.3	0.4	-1.41327
0.3	-0.4	-1.41327
0.3	0.399	-1.41157
0.3	-0.399	-1.41157
0.3	0.398	-1.40658
0.3	-0.398	-1.40658
0.3	0.397	-1.39808
0.3	-0.397	-1.39808
0.3	0.396	-1.38587
0.3	-0.396	-1.38587
0.3	0.395	-1.36975
0.3	-0.395	-1.36975
0.3	0.394	-1.3495
0.3	-0.394	-1.3495
0.3	0.393	-1.32491
0.3	-0.393	-1.32491
0.3	0.392	-1.29578
0.3	-0.392	-1.29578
0.3	0.391	-1.26188
0.3	-0.391	-1.26188
0.3	0.39	-1.22301
0.3	-0.39	-1.22301
0.3	0.389	-1.17898
0.3	-0.389	-1.17898
0.3	0.388	-1.12957
0.3	-0.388	-1.12957
0.3	0.387	-1.0746
0.3	-0.387	-1.0746
0.3	0.386	-1.01387
0.3	-0.386	-1.01387
0.3	0.385	-0.947226
0.3	-0.385	-0.947226
0.3	0.384	-0.874488
0.3	-0.384	-0.874488
0.3	0.383	-0.795507
0.3	-0.383	-0.795507
0.3	0.382	-0.710147
0.3	-0.382	-0.710147
0.3	0.381	-0.618288
0.3	-0.381	-0.618288
0.3	0.38	-0.519831
0.3	-0.38	-0.519831
0.3	0.379	-0.414694
0.3	-0.379	-0.414694
0.3	0.378	-0.302823
0.3	-0.378	-0.302823
0.3	0.377	-0.184187
0.3	-0.377	-0.184187
0.3	0.376	-0.0587835
0.3	-0.376	-0.0587835
0.3	0.375	0.0733594
0.3	-0.375	0.0733594
0.3	0.374	0.212181
0.3	-0.374	0.212181
0.3	0.373	0.357585
0.3	-0.373	0.357585
0.3	0.372	0.509439
0.3	-0.372	0.509439
0.3	0.371	0.667569
0.3	-0.371	0.667569
0.3	0.37	0.831761
0.3	-0.37	0.831761
0.3	0.369	1.00176
0.3	-0.369	1.00176
0.3	0.368	1.17725
0.3	-0.368	1.17725
0.3	0.367	1.35789
0.3	-0.367	1.35789
0.3	0.366	1.54328
0.3	-0.366	1.54328
0.3	0.365	1.73295
0.3	-0.365	1.73295
0.3	0.364	1.92641
0.3	-0.364	1.92641
0.3	0.363	2.1231
0.3	-0.363	2.1231
0.3	0.362	2.32241
0.3	-0.362	2.32241
0.3	0.361	2.52366
0.3	-0.361	2.52366
0.3	0.36	2.72614
0.3	-0.36	2.72614
0.3	0.359	2.92906
0.3	-0.359	2.92906
0.3	0.358	3.13161
0.3	-0.358	3.13161
0.3	0.357	3.33291
0.3	-0.357	3.33291
0.3	0.356	3.53201
0.3	-0.356	3.53201
0.3	0.355	3.72794
0.3	-0.355	3.72794
0.3	0.354	3.91968
0.3	-0.354	3.91968
0.3	0.353	4.10615
0.3	-0.353	4.10615
0.3	0.352	4.28626
0.3	-0.352	4.28626
0.3	0.351	4.45885
0.3	-0.351	4.45885
0.3	0.35	4.62276
0.3	-0.35	4.62276
0.3	0.349	4.7768
0.3	-0.349	4.7768
0.3	0.348	4.91975
0.3	-0.348	4.91975
0.3	0.347	5.05039
0.3	-0.347	5.05039
0.3	0.346	5.16749
0.3	-0.346	5.16749
0.3	0.345	5.26983
0.3	-0.345	5.26983
0.3	0.344	5.35619
0.3	-0.344	5.35619
0.3	0.343	5.42538
0.3	-0.343	5.42538
0.3	0.342	5.47624
0.3	-0.342	5.47624
0.3	0.341	5.50764
0.3	-0.341	5.50764
0.3	0.34	5.51851
0.3	-0.34	5.51851
0.3	0.339	5.50783
0.3	-0.339	5.50783
0.3	0.338	5.47466
0.3	-0.338	5.47466
0.3	0.337	5.41812
0.3	-0.337	5.41812
0.3	0.336	5.33745
0.3	-0.336	5.33745
0.3	0.335	5.23196
0.3	-0.335	5.23196
0.3	0.334	5.10109
0.3	-0.334	5.10109
0.3	0.333	4.9444
0.3	-0.333	4.9444
0.3	0.332	4.76156
0.3	-0.332	4.76156
0.3	0.331	4.55242
0.3	-0.331	4.55242
0.3	0.33	4.31695
0.3	-0.33	4.31695
0.3	0.329	4.05527
0.3	-0.329	4.05527
0.3	0.328	3.76769
0.3	-0.328	3.76769
0.3	0.327	3.45469
0.3	-0.327	3.45469
0.3	0.326	3.1169
0.3	-0.326	3.1169
0.3	0.325	2.75516
0.3	-0.325	2.75516
0.3	0.324	2.37048
0.3	-0.324	2.37048
0.3	0.323	1.96406
0.3	-0.323	1.96406
0.3	0.322	1.53729
0.3	-0.322	1.53729
0.3	0.321	1.09174
0.3	-0.321	1.09174
0.3	0.32	0.629177
0.3	-0.32	0.629177
0.3	0.319	0.151539
0.3	-0.319	0.151539
0.3	0.318	-0.33906
0.3	-0.318	-0.33906
